,Label,PT2
0,106.0,-225.11283826
1,106.5,-225.1138003
2,107.0,-225.11470856
3,107.5,-225.11556404
4,108.0,-225.11636765
5,108.5,-225.11713247
6,109.0,-225.11783589
7,109.5,-225.11848787
8,110.0,-225.11909202
9,110.5,-225.11964924
10,111.0,-225.12016033
11,111.5,-225.12062615
12,112.0,-225.12104749
13,112.5,-225.12142504
14,113.0,-225.1217616
15,113.5,-225.12205339
16,114.0,-225.1223036
17,114.5,-225.12251561
18,115.0,-225.12268437
19,115.5,-225.12281357
20,116.0,-225.12290379
21,116.5,-225.12295669
22,117.0,-225.12297278
23,117.5,-225.12294885
24,118.0,-225.12288606
25,118.5,-225.12278678
26,119.0,-225.12265485
27,119.5,-225.12249329
28,120.0,-225.12229233
29,120.5,-225.12205721
30,121.0,-225.12178844
31,121.5,-225.12149132
32,122.0,-225.12115727
33,122.5,-225.12079087
34,123.0,-225.12040077
35,123.5,-225.11998011
36,124.0,-225.11953405
37,124.5,-225.11906342
38,125.0,-225.118488
39,125.5,-225.11793697
40,126.0,-225.1173557
41,126.5,-225.1167452
42,127.0,-225.11610588
43,127.5,-225.11543808
44,128.0,-225.11473748
45,128.5,-225.11401332
46,129.0,-225.11327129
47,129.5,-225.11249292
48,130.0,-225.11168755
49,130.5,-225.11085542
50,131.0,-225.10999687
51,131.5,-225.10911225
52,132.0,-225.1082016
53,132.5,-225.10726544
54,133.0,-225.10629858
55,133.5,-225.10531257
56,134.0,-225.10430068
57,134.5,-225.10326507
58,135.0,-225.10220509
59,135.5,-225.1011206
60,136.0,-225.10001691
61,136.5,-225.0988884
62,137.0,-225.09773552
63,137.5,-225.09655842
64,138.0,-225.09535734
65,138.5,-225.09413549
66,139.0,-225.092897
67,139.5,-225.09162416
68,140.0,-225.09033817
69,140.5,-225.089031
70,141.0,-225.08770271
71,141.5,-225.08635401
72,142.0,-225.08498465
73,142.5,-225.08359398
74,143.0,-225.08214913
75,143.5,-225.08076194
76,144.0,-225.07931194
77,144.5,-225.07784486
78,145.0,-225.07635961
79,145.5,-225.07485586
80,146.0,-225.0733311
81,146.5,-225.07179934
82,147.0,-225.07023108
83,147.5,-225.06866007
84,148.0,-225.06707218
85,148.5,-225.06544152
86,149.0,-225.06384078
87,149.5,-225.06220363
88,150.0,-225.06055157
89,150.5,-225.05888713
90,151.0,-225.0572051
91,151.5,-225.05550867
92,152.0,-225.05380145
93,152.5,-225.05207937
94,153.0,-225.05034881
95,153.5,-225.04860764
96,154.0,-225.04685621
97,154.5,-225.04509979
98,155.0,-225.043331
99,155.5,-225.04258382
100,156.0,-225.03991647
101,156.5,-225.03798264
102,157.0,-225.03618909
103,157.5,-225.03439109
104,158.0,-225.03259408
105,158.5,-225.03078688
106,159.0,-225.02898347
107,159.5,-225.02718086
108,160.0,-225.02538262
109,160.5,-225.02358143
110,161.0,-225.02179238
111,161.5,-225.02000736
112,162.0,-225.01823415
113,162.5,-225.01646601
114,163.0,-225.01470988
115,163.5,-225.01296966
116,164.0,-225.01124342
117,164.5,-225.00953933
118,165.0,-225.00785017
119,165.5,-225.00618495
120,166.0,-225.00454461
121,166.5,-225.0029303
122,167.0,-225.00134646
123,167.5,-224.99979067
124,168.0,-224.99827032
125,168.5,-224.99679191
126,169.0,-224.99533982
127,169.5,-224.9939347
128,170.0,-224.99257544
129,170.5,-224.99125993
130,171.0,-224.98999524
131,171.5,-224.98878458
132,172.0,-224.98762338
133,172.5,-224.98652261
134,173.0,-224.9854769
135,173.5,-224.98449396
136,174.0,-224.98357437
137,174.5,-224.98271987
138,175.0,-224.98193288
139,175.5,-224.98121239
140,176.0,-224.98054413
141,176.5,-224.97998752
142,177.0,-224.97948751
143,177.5,-224.97906293
144,178.0,-224.97871244
145,178.5,-224.97843759
146,179.0,-224.9782424
147,179.5,-224.97812466
148,180.0,-224.97808545
149,180.5,-224.97812493
